alipay.com,  110.75.129.5
youtube.com,  172.217.2.14
wordpress.com,  192.0.78.9
goo.ne.jp,  114.179.184.93
360.cn,  36.99.170.84
youtube.com,  172.217.2.14
hotmail.com,  204.79.197.212
bbc.co.uk,  151.101.64.81
yahoo.com,  74.6.231.21
weather.com,  184.86.131.215
yandex.ru,  5.255.255.50
softonic.com,  35.227.233.104
yahoo.com,  98.137.11.164
soku.com,  106.11.47.20
myspace.com,  63.135.90.70
live.com,  204.79.197.212
wikipedia.org,  208.80.153.224
alibaba.com,  205.204.101.142
mail.ru,  94.100.180.200
msn.com,  13.82.28.61
yahoo.co.jp,  182.22.59.229
megaupload.com,  NOT_RESOLVED
cnet.com,  34.95.96.50
baidu.com,  39.156.69.79
nifty.com,  222.158.213.148
renren.com,  120.133.2.242
wikipedia.org,  208.80.153.224
blogspot.com,  172.217.12.9
go.com,  23.236.60.174
4399.com,  129.211.129.109
imageshack.us,  208.94.3.18
microsoft.com,  13.77.161.179
blogger.com,  172.217.2.9
livedoor.jp,  203.104.153.16
sohu.com,  211.159.191.77
vkontakte.ru,  87.240.190.78
msn.com,  13.82.28.61
live.com,  204.79.197.212
qq.com,  203.205.254.157
cnn.com,  151.101.129.67
apple.com,  17.253.144.10
craigslist.org,  208.82.237.129
taobao.com,  140.205.94.189
baidu.com,  220.181.38.148
orkut.com,  216.239.32.21
tianya.cn,  124.225.206.22
bing.com,  204.79.197.200
blogspot.com,  172.217.2.9
answers.com,  151.101.0.203
hao123.com,  124.237.176.248
sina.com.cn,  123.125.104.150
skype.com,  40.115.34.155
soso.com,  118.191.216.42
ameblo.jp,  151.101.66.133
windows.com,  40.113.200.201
qq.com,  123.151.137.18
zynga.com,  99.84.203.127
rapidshare.com,  0.0.0.0
pps.tv,  116.211.199.233
ebay.com,  66.211.172.37
partypoker.com,  195.72.134.91
naver.com,  223.130.195.200
163.com,  123.58.180.7
hp.com,  15.72.164.74
7k7k.com,  157.185.175.102
flickr.com,  65.8.237.125
taobao.com,  140.205.94.189
walmart.com,  161.170.230.170
daum.net,  211.231.99.17
xunlei.com,  39.104.2.218
4shared.com,  204.155.149.43
2345.com,  14.29.109.15
kugou.com,  183.131.48.92
microsoft.com,  40.113.200.201
amazon.co.jp,  52.119.161.5
photobucket.com,  65.8.242.125
bing.com,  204.79.197.200
ask.com,  151.101.70.114
adobe.com,  23.48.9.115
mediafire.com,  104.16.202.237
56.com,  183.232.65.145
ebay.de,  216.113.179.53
twitter.com,  104.244.42.129
ehow.com,  184.30.177.147
paypal.com,  64.4.250.37
fc2.com,  35.161.178.188
youdao.com,  103.72.47.249
seesaa.net,  143.204.33.50
hotfile.com,  18.207.9.28
mozilla.com,  44.236.48.31
sina.com.cn,  123.126.45.205
mywebsearch.com,  34.102.244.163
sogou.com,  118.191.216.42
qiyi.com,  111.206.13.63
youku.com,  106.11.43.71
pconline.com.cn,  219.136.244.85
sdjjdsaf.com,  NOT_RESOLVED
163.com,  123.58.180.8
odnoklassniki.ru,  217.20.155.13
linkedin.com,  13.107.42.14
tmall.com,  140.205.94.193
jp.msn.com,  13.88.15.24
ask.com,  151.101.70.114
andysayler.com,  159.89.253.85
adobe.com,  23.48.9.82
dailymotion.com,  195.8.215.136
ku6.com,  117.50.1.222
twitter.com,  104.244.42.129
wmfo.org,  23.92.21.128
mozilla.com,  44.235.246.155
rakuten.co.jp,  133.237.16.234
imdb.com,  52.94.225.248
aol.com,  106.10.248.150
about.com,  151.101.194.137
youku.com,  106.11.43.71
sdjjdsaf.com,  NOT_RESOLVED
orkut.com.br,  200.160.2.95
soso.com,  119.28.109.132
andysayler.com,  159.89.253.85
tudou.com,  106.11.43.215
paipai.com,  106.39.169.133
wmfo.org,  23.92.21.128
facebook.com,  157.240.28.35
ifeng.com,  123.103.122.24
amazon.com,  205.251.242.103
facebook.com,  157.240.28.35
